url,question,answer,sources
"https://ya.ru/neurum/c/drugoe/q/chem_otlichayutsya_diskrecionnaya_i_mandatnaya_10e1bac2","Чем отличаются дискреционная и мандатная политики безопасности?","Дискреционная и мандатная политики безопасности отличаются подходом к управлению доступом к информационным системам и ресурсам. Дискреционная политика подразумевает, что доступ назначает администратор (реже владелец ресурсов) на основе идентификационной информации о субъектах.  На основе этих данных создаются списки на использование тех или иных ресурсов с указанием полномочий конкретных лиц.  При необходимости список прав можно расширить. Мандатная политика базируется на принципах конфиденциальности.  Каждому объекту (ресурсу) в информационном поле компании присваиваются метки типа «не секретно», «засекречено», «строго конфиденциально».  Затем администраторы или владельцы систем назначают сотрудникам полномочия в соответствии с их должностными обязанностями.  Например, кто-то получает право взаимодействовать только с объектами несекретного уровня, кто-то — с совершенно секретными ресурсами.  В рамках мандатной модели нельзя превышать назначенный уровень доступа. Таким образом, основное отличие в том, что в дискреционной политике управление доступом происходит путём наделения пользователей полномочиями осуществлять определённые операции над определёнными объектами, а в мандатной — с помощью назначения всем сущностям системы уровней безопасности, которые определяют все допустимые взаимодействия между ними.","https://rt-solar.ru/products/solar_inrights/blog/3742/ | https://www.sekretariat.ru/question/212081-qqqa-16-m4-v-chem-razlichie-diskretnoy-i-mandatnoy-modeli-bezopasnosti | https://www.oknemuan.ru/index.php?p=70&id=60"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichayutsya_krupnye_internetploschadki_630cd946","Чем отличаются крупные интернет-площадки от локальных веб-сайтов?","Крупные интернет-площадки и локальные веб-сайты отличаются по своим функциям и назначению. Крупные интернет-площадки, например маркетплейсы, предназначены для покупки товаров и услуг у разных продавцов.  Это виртуальные магазины с большим количеством товаров разных типов (могут быть сотни тысяч и миллионы позиций). Локальные веб-сайты, например корпоративные порталы, создаются для опубликования юридически важной информации о предприятии, для общения с клиентами и организации взаимодействия между сотрудниками онлайн. Таким образом, основное отличие заключается в том, что крупные интернет-площадки ориентированы на торговлю и работу с товарами и услугами, в то время как локальные веб-сайты выполняют другие задачи, связанные с информацией и общением с клиентами.","https://dzen.ru/a/ZGtoixaUPVzrHYRl | https://eurobyte.ru/articles/chem-otlichaetsya-sajt-ot-internet-magazina/ | https://blog.promopult.ru/seo/tipy-veb-sajtov.html"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichayutsya_login_i_yuzerneym_v_kontekste_e8b7a2f1","Чем отличаются логин и юзернейм в контексте социальных сетей?","Возможно, имелись в виду различия между понятиями «логин» и «юзернейм» в контексте социальных сетей. Логин (англ. Login) — это имя пользователя, которое используется для входа в информационные системы, приложения или другие программы.  Логин позволяет идентифицировать пользователя, который заходит на определённый ресурс или пытается получить доступ к программам.  Для логина могут быть установлены ограничения на ввод определённых символов и максимальную длину. Юзернейм (username) — это уникальное имя пользователя в социальных сетях, мессенджерах и онлайн-платформах.  Юзернейм выполняет несколько функций: идентификация, персонализация, SEO и брендинг.  Он влияет на запоминаемость и продвижение в сети.  В отличие от логина, для юзернейма нет жёстких ограничений на используемые символы: в нём можно применять кириллицу и другие символы кодировки unicode. Таким образом, логин больше связан с функциональностью входа в системы, а юзернейм — с именем пользователя в контексте социальных сетей и его идентификацией и персонализацией.","https://rt-solar.ru/events/blog/3461/ | https://pro-dgtl.ru/blog/socseti/tpost/du8lvu0dp1-yuzerneim-v-sotssetyah-chto-eto-takoe-so | https://azbukakursov.ru/articles/marketing/ponyatie-nik-i-ego-otlichiya-ot-uchetnoy-zapisi/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichayutsya_paroli_ot_razlichnyh_kombinaciy_3f6e7fa0","Чем отличаются пароли от различных комбинаций?","Возможно, имелись в виду различия между простыми комбинациями и паролями. Пароль — это условное слово или набор знаков, который состоит из букв, цифр и других символов и предназначен для подтверждения личности или полномочий.  Пароли часто используют для защиты информации от несанкционированного доступа. Простые комбинации, например, состоящие из распространённых фраз (qwerty, zxcvbn, asdfg и прочие), считаются легко взламываемыми.  Для подбора таких паролей используют готовые словари и простые сочетания букв с цифрами. Пароли, состоящие из различных комбинаций, наоборот, считаются более стойкими, так как их сложнее угадать или подобрать.  Например, для дополнительной защиты иногда используют пароли, состоящие из многих слов (парольные фразы). Также есть понятие ПИН-кода — комбинации, в которой допустимо использование только цифр. Таким образом, основное отличие в том, что простые комбинации считаются уязвимыми, а пароли, состоящие из различных комбинаций, обеспечивают более высокий уровень безопасности.","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%BE%D0%BB%D1%8C | https://project3893717.tilda.ws/page35880285.html | https://rt-solar.ru/events/blog/3061/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichayutsya_trebovaniya_k_bezopasnosti_d03facd5","Чем отличаются требования к безопасности и устойчивости в современном программировании?","Требования к безопасности и устойчивости в современном программировании отличаются: Таким образом, основное отличие в том, что требования к безопасности фокусируются на защите данных и обеспечении доступности ключевых функций, а требования к устойчивости — на способности системы обрабатывать исключительные ситуации и переносить ошибки без сбоев в работе программы.","https://rt-solar.ru/products/solar_appscreener/blog/5191/ | https://intuit.ru/studies/courses/4084/429/lecture/9744 | https://otvet.mail.ru/question/168259573"
"https://ya.ru/neurum/c/drugoe/q/chto_iz_sebya_predstavlyaet_sistema_bezopasnosti_b22b1389","Что из себя представляет система безопасности номеров банковских карт?","Система безопасности номеров банковских карт включает различные методы, которые помогают защитить данные от мошенников и утечки.  Некоторые из них:","https://robokassa.com/blog/articles/tokenizatsiya-bankovskikh-kart-zashchita-ot-moshennikov-i-bezopasnost-onlayn-platezhey/ | https://rt-solar.ru/products/solar_dozor/blog/4938/ | https://companies.rbc.ru/news/w63dmUDci6/kak-tokenizatsiya-bankovskih-kart-zaschischaet-nashi-personalnyie-dannyie/ | https://brobank.ru/kod-bezopasnosti-na-karte/ | https://sinara.ru/chastnym-licam/blog/karty/chto-takoe-cvv-ili-cvc-na-bankovskoy-karte-i-komu-ikh-mozhno-soobshchat"
"https://ya.ru/neurum/c/drugoe/q/chto_podrazumevaetsya_pod_ponyatiem_vnutrennie_55cab8f5","Что подразумевается под понятием 'внутренние угрозы' в сфере безопасности?","Внутренние угрозы в сфере безопасности — это риски, которые возникают из-за действий или неосторожности сотрудников, подрядчиков или других лиц, имеющих доступ к информационным системам организации. Такие угрозы могут быть как преднамеренными, так и непреднамеренными.  Они могут возникать из-за недостатка осведомлённости о правилах безопасности, небрежности, а также злоумышленного умысла. Некоторые примеры внутренних угроз: Внутренние угрозы сложнее обнаружить, чем внешние, поскольку у инсайдеров уже есть доступ к активам организации и они знакомы с корпоративными мерами безопасности.","https://hanston.ru/press-centr/informacionnaya-bezopasnost-effektivnye-strategii-zaschity-ot-vnutrennih-ugroz | https://www.microsoft.com/ru-ru/security/business/security-101/what-is-insider-threat"
"https://ya.ru/neurum/c/drugoe/q/chto_schitaetsya_nesankcionirovannym_dostupom_7f387570","Что считается несанкционированным доступом в IT-системах?","Несанкционированный доступ (НСД) в IT-системах — это получение доступа к данным, ресурсам или системам без разрешения владельца или уполномоченного пользователя. НСД может быть как из внешней среды (например, от хакеров, вирусов), так и изнутри организации (неправомерное использование прав сотрудниками).  Такие действия нарушают установленные правила безопасности и могут привести к утечке, потере или повреждению конфиденциальной информации. Некоторые виды несанкционированного доступа:","https://glabit.ru/blog/nesankcionirovannyj-dostup-k-informacii-chto-eto-sposoby-zashi | https://selectel.ru/blog/unauthorized-access/"
"https://ya.ru/neurum/c/drugoe/q/chto_takoe_sertifikat_bezopasnosti_i_dlya_chego_3771eeeb","Что такое сертификат безопасности и для чего он нужен?","Сертификат безопасности (SSL, TLS) — это электронный документ, подтверждающий подлинность сайтов и передающий зашифрованные данные между устройством и сервисом. Зачем он нужен:","https://daily.afisha.ru/cities/26754-zachem-ustanavlivat-sertifikat-bezopasnosti-ot-mincifry-eto-tochno-bezopasno/ | https://help.reg.ru/support/ssl-sertifikaty/obshchaya-informatsiya-po-ssl/chto-takoye-ssl-sertifikat-i-dlya-chego-on-nuzhen"
"https://ya.ru/neurum/c/drugoe/q/chto_takoe_utechka_informacii_i_kakie_mery_e3dcbc57","Что такое утечка информации и какие меры предосторожности необходимо предпринимать для её предотвращения?","Утечка информации — это несанкционированный доступ к конфиденциальным данным, которые могут включать персональные сведения, реквизиты счетов, медицинские записи и коммерческую тайну.  Утечки бывают злонамеренными (целенаправленный взлом) и случайными (из-за ошибки или халатности). Некоторые меры предосторожности для предотвращения утечки информации: Важно помнить, что абсолютной защиты не существует, и необходимо быть готовыми к быстрой и эффективной реакции в случае инцидента утечки данных.","https://kontur.ru/aegis/blog/52583-kak_najti_i_predotvratit_utechku_informacii | https://rt-solar.ru/products/solar_dozor/blog/2581/ | https://searchinform.ru/analitika-v-oblasti-ib/utechki-informatsii/sposoby-predotvrascheniya-utechki-informatsii/kak-izbezhat-utechki-informacii/ | https://www.sravni.ru/kredity/info/utechka-dannykh/"
"https://ya.ru/neurum/c/drugoe/q/chto_takoe_zaschita_windows_firewall_i_kak_55ec2c5f","Что такое защита Windows Firewall и как она функционирует?","Windows Firewall — это встроенный в Windows инструмент безопасности, который контролирует доступ к компьютеру и сетевым ресурсам.  Его задача — ограничение или блокировка входящего и исходящего трафика. Некоторые функции Windows Firewall: Принцип работы Windows Firewall можно сравнить со шлюзом: на входе система анализирует каждый пакет и принимает решение, пропускать трафик или запретить.  Инструкции, по которым будет вестись калибровка, задаёт на старте системный администратор.  Чаще всего это список разрешённых и запрещённых адресов или портов.  По ним брандмауэр определяет, какие соединения являются нежелательными, а какие разрешёнными.","https://skillbox.ru/media/code/prostymi-slovami-o-firewall-osnovnye-ponyatiya-opredeleniya-i-zabluzhdeniya/ | https://recovery-software.ru/blog/configure-windows-firewall.html | https://rt-solar.ru/products/solar_webproxy/blog/2848/"
"https://ya.ru/neurum/c/drugoe/q/chto_vklyuchaet_microsoft_office_365_biznes_5bfcff61","Что включает Microsoft office 365 бизнес премиум?","Microsoft 365 Business Premium включает: Также в пакет Microsoft 365 Business Premium входит программное решение Yammer для корпоративной социальной сети, Stream для видеохостинга и Sway для создания интерактивных презентаций и отчётов.","https://www.robotx.ru/microsoft-365/microsoft-365-biznes-premium/ | https://www.cloud4y.ru/blog/choosing-microsoft-365-business-standard-and-premium-versions-depending-on-business-needs/"
"https://ya.ru/neurum/c/drugoe/q/how_can_default_passwords_be_mitigated_4cac9cd6","How can default passwords be mitigated?","Чтобы снизить риски, связанные с использованием паролей по умолчанию, можно применять следующие меры:","https://rt-solar.ru/events/blog/3061/ | https://www.microsoft.com/ru-ru/security/business/security-101/what-is-password-protection | https://www.securitylab.ru/blog/company/PandaSecurityRus/344030.php | https://www.comss.ru/page.php?id=3385"
"https://ya.ru/neurum/c/drugoe/q/how_to_protect_your_credit_card_processing_3c379c5a","How to protect your credit card processing system from fraud?","Для защиты системы обработки кредитных карт от мошенничества можно предпринять следующие меры: Также владельцам кредитных карт рекомендуется никому не говорить пин-код, периодически его менять (желательно как минимум раз в 3 месяца), пользоваться только проверенными безопасными банкоматами, которые установлены в отделениях банков, устанавливать сложный пароль для входа в банковское приложение, настраивать двухфакторную аутентификацию.","https://rt-solar.ru/products/solar_dozor/blog/4938/ | https://alfabank.ru/help/articles/credit-cards/kak-zashchitit-kreditnuyu-kartu-ot-moshennikov/"
"https://ya.ru/neurum/c/drugoe/q/how_to_secure_local_accounts_against_unauthorized_ac86bb11","How to secure local accounts against unauthorized access?","Несколько способов защитить локальные учётные записи от несанкционированного доступа: Для обеспечения безопасности учётных записей также рекомендуется проводить обучение персонала основам кибербезопасности и кибергигиены.","https://zscomp.ru/news/kak_obespechit_bezopasnii_dostup_v_windows_10_text_/ | https://it-decisions.ru/articles/view/bezopasnost-lokalnoy-seti-zaschita-ot-ugroz-i-nesanktsionirovannogo-dostupa | https://selectel.ru/blog/unauthorized-access/ | https://rt-solar.ru/products/solar_inrights/blog/3329/"
"https://ya.ru/neurum/c/drugoe/q/imeet_li_znachenie_nalichie_parametra_ddoszaschita_df654860","Имеет ли значение наличие параметра DDOS-защита при выборе хостинга?","Да, наличие параметра DDoS-защиты имеет значение при выборе хостинга. Качественная защита от DDoS-атак способна предотвратить или существенно снизить ущерб, причиняемый хакерами.  Она обеспечивает стабильность работы сайта даже в условиях компьютерной агрессии и предотвращает потерю данных и дохода из-за атак. При выборе хостинга с защитой от DDoS стоит обратить внимание на следующие параметры: Также стоит изучить отзывы пользователей о работе защиты на практике и убедиться в компетентности техподдержки.","https://ru.hostings.info/questions/imeet-li-znachenie-nalichie-parametra-ddos-zaschita-pri-vybore-hosting.html | https://vc.ru/niksolovov/1152549-hosting-s-zashitoi-ot-ddos-atak-reiting-16-luchshih-hostingov-kak-vybrat-2024"
"https://ya.ru/neurum/c/drugoe/q/izza_kakih_plyusov_microsoft_office_365_biznes_19044415","Из-за каких ”плюсов” Microsoft Office 365 бизнес стоит купить?","Некоторые плюсы Microsoft Office 365 для бизнеса, из-за которых стоит рассмотреть покупку:","https://www.cloud4y.ru/blog/office-365-pros-and-cons/ | https://cloudfresh.com/ru/cloud-blog/10-preimushchestv-microsoft-365-dlya-biznesa/"
"https://ya.ru/neurum/c/drugoe/q/kak_bezopasno_udalyat_bolshie_obemy_informacii_4001dd3a","Как безопасно удалять большие объемы информации из корпоративных чатов?","Для безопасного удаления больших объёмов информации из корпоративных чатов можно использовать следующие меры: Выбор метода зависит от конкретных условий и требований к безопасности в организации.","https://vc.ru/hr/305185-chem-opasny-rabochie-chaty-v-messendzherah-i-kak-mozhno-obezopasit-svoi-biznes-ot-zlogo-umysla-sotrudnikov | https://dzen.ru/a/ZMy_GtVH_wml1OaR | https://rt-solar.ru/products/solar_dozor/blog/4035/ | https://stakhanovets.ru/blog/whatsapp-telegram-ili-viber-kak-zashhitit-korporativnuyu-informaciyu/"
"https://ya.ru/neurum/c/drugoe/q/kak_bezopasno_upravlyat_politikami_paroley_f11ec297","Как безопасно управлять политиками паролей в корпоративных системах?","Для безопасного управления политиками паролей в корпоративных системах можно использовать следующие рекомендации: Для управления парольной политикой можно использовать системы управления доступом (IDM).  Такие системы позволяют централизованно задавать и контролировать правила безопасности для пользователей организации.  Они автоматизируют бизнес-процессы, напоминают о необходимости обновления паролей и блокируют учётные записи при подозрительной активности.","https://trusted.plus/tpost/5siua1gc31-parolnaya-politika-kak-osnova-upravleniy | https://blog.scalefusion.com/ru/%D0%BE%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B8%D1%82%D1%8C-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D1%83-%D0%BF%D0%B0%D1%80%D0%BE%D0%BB%D0%B5%D0%B9-%D0%B4%D0%BB%D1%8F-%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8/"
"https://ya.ru/neurum/c/drugoe/q/kak_chasto_nuzhno_menyat_paroli_ot_akkauntov_77ff1228","Как часто нужно менять пароли от аккаунтов в интернете?","Рекомендуется менять пароли от аккаунтов в интернете каждые 3 месяца (минимум раз в полгода).  Периодичность зависит от ценности данных в аккаунте, частоты использования учётной записи, надёжности механизмов защиты информационной инфраструктуры. Однако слишком частая смена паролей может не повысить, а понизить уровень безопасности.  Это связано с тем, что пользователи каждый раз начинают придумывать всё более примитивные комбинации символов или же, чтобы не забыть их, записывают где-нибудь. Существуют обстоятельства, при которых следует немедленно сменить пароль:  нарушение безопасности, подозрение на несанкционированный доступ к учётной записи, обнаружение вредоносного ПО на устройстве и т. д..","https://rt-solar.ru/products/solar_inrights/blog/3729/ | https://aif.ru/society/web/kak_chasto_stoit_menyat_paroli_na_vazhnyh_saytah | https://www.keepersecurity.com/blog/ru/2020/12/21/how-often-should-you-change-your-password-keeper-security/"
